"Openbare bibliotheken"
""
"";"";"Periods"
"Subject";"";"2005, excluding provincial organisations";"2006, excluding provincial organisations";"2007, excluding provincial organisations";"2008, excluding provincial organizations";"2009, excluding provincial organisations";"2010, excluding provincial organizations";"2011, excluding provincial organisations";"2012, excluding provincial organisations";"2013, excluding provincial organisations";"2014, excluding provincial organisations";"2015, excluding provincial organisations";"2016, excluding provincial organisations";"2017, excluding provincial organisations";"2018, excluding provincial organisations";"2019, excluding provincial organisations";"2020, excluding provincial organizations";"2021, excluding provincial organisations";"2022, excluding provincial organisations*"
"Personeel|Vrijwilligers|Totaal personen";"number";".";".";".";".";".";".";".";".";".";".";".";".";"16563";"19776";"22713";"22627";"23081";"25121"
"Personeel|Vrijwilligers|Totaal arbeidsjaren";"number";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Exploitatie|Baten|Totaal baten";"million euros";"492,8";"503,9";"518,5";"544,6";"568,7";"574,2";"576,3";"570,6";"550,7";"523,8";"520,3";"519,5";"507,0";"517,0";"523,0";"520,0";"543,0";"588,0"
"Exploitatie|Baten|Inkomsten gebruikers";"million euros";"71,0";"69,9";"69,8";"69,7";"70,8";"71,8";"71,4";"69,8";"67,6";"62,3";"62,8";"62,7";"58,0";"56,4";"54,7";"49,5";"48,0";"50,0"
"Exploitatie|Baten|Inkomsten mobiele diensten";"million euros";"1,7";"1,4";"1,6";"1,4";"1,5";"1,5";"1,3";"1,1";"1,0";"1,8";"1,0";"0,7";"1,2";"2,0";"1,2";"0,7";"0,7";"0,8"
"Exploitatie|Baten|Subsidies en bijdragen|Totaal subsidies en bijdragen";"million euros";"395,7";"409,0";"424,7";"445,8";"463,7";"473,6";"471,3";"464,6";"449,5";"431,6";"428,9";"427,0";"413,9";"423,0";"430,0";"441,6";"461,6";"492,5"
"Exploitatie|Baten|Subsidies en bijdragen|Subsidies en bijdragen gemeenten";"million euros";"380,1";"388,5";"401,9";"422,9";"445,7";"457,8";"456,8";"452,1";"438,4";"420,9";"415,3";"415,3";"403,3";"409,3";"415,9";"428,1";"441,9";"458,9"
"Exploitatie|Baten|Subsidies en bijdragen|Subsidies en bijdragen provincies";"million euros";"9,9";"14,1";"16,4";"15,7";"14,2";"13,0";"10,9";"9,0";"8,5";"8,3";"10,0";"9,3";"8,0";"9,8";"8,2";"6,7";"9,1";"8,4"
"Exploitatie|Baten|Subsidies en bijdragen|Overige subsidies en bijdragen";"million euros";"5,7";"6,4";"6,5";"7,2";"3,7";"2,7";"3,6";"3,5";"2,6";"2,4";"3,6";"2,4";"2,6";"3,4";"5,7";"6,7";"10,7";"25,3"
"Exploitatie|Baten|Baten in verband met doorberekening|Totaal baten doorberekening";"million euros";"4,9";"8,9";"8,2";"10,4";"12,6";"11,9";"15,0";"15,8";"15,5";"17,2";"18,1";"19,1";"17,4";"22,0";"25,0";"18,4";"20,0";"27,0"
"Exploitatie|Baten|Baten in verband met doorberekening|Doorberekende personeelskosten";"million euros";"";"";"";"";"";"";"";"";"";"";".";"";"";"";"";"";"";""
"Exploitatie|Baten|Baten in verband met doorberekening|Doorberekende mobiele diensten";"million euros";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Exploitatie|Baten|Baten in verband met doorberekening|Doorberekende kosten media";"million euros";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Exploitatie|Baten|Baten in verband met doorberekening|Overige doorberekende kosten";"million euros";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Exploitatie|Baten|Ontvangen rente";"million euros";"2,1";"1,9";"2,2";"3,5";"2,8";"1,8";"2,0";"2,3";"1,9";"1,3";"1,1";"0,7";"0,2";"0,1";"0,1";"0,0";"0,0";"0,0"
